k,model,R2_mean,R2_per_target,MAE_mean,RMSE_mean,features,top_10_features
64,Ridge,0.815385,target5+:0.7598 | target4+:0.7703 | target3+:0.7933 | target2+:0.8360 | target1+:0.9175,1.679268,2.184085,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
37,Linear,0.815328,target5+:0.7613 | target4+:0.7717 | target3+:0.7922 | target2+:0.8344 | target1+:0.9170,1.702535,2.184427,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
38,Linear,0.815316,target5+:0.7613 | target4+:0.7717 | target3+:0.7922 | target2+:0.8344 | target1+:0.9170,1.702595,2.184496,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
36,Linear,0.815248,target5+:0.7612 | target4+:0.7716 | target3+:0.7921 | target2+:0.8344 | target1+:0.9170,1.703393,2.184899,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
65,Linear,0.815191,target5+:0.7597 | target4+:0.7696 | target3+:0.7928 | target2+:0.8362 | target1+:0.9176,1.682125,2.185229,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
24,Linear,0.815166,target5+:0.7629 | target4+:0.7714 | target3+:0.7914 | target2+:0.8343 | target1+:0.9157,1.695822,2.185389,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
47,Linear,0.815108,target5+:0.7615 | target4+:0.7717 | target3+:0.7918 | target2+:0.8339 | target1+:0.9167,1.702814,2.185728,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
24,Ridge,0.815027,target5+:0.7627 | target4+:0.7715 | target3+:0.7911 | target2+:0.8340 | target1+:0.9158,1.695379,2.18621,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
58,CatBoost,0.815004,target5+:0.7653 | target4+:0.7735 | target3+:0.7920 | target2+:0.8335 | target1+:0.9108,1.690607,2.186367,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
55,Linear,0.815001,target5+:0.7605 | target4+:0.7710 | target3+:0.7920 | target2+:0.8345 | target1+:0.9169,1.687258,2.186355,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
67,Ridge,0.815,target5+:0.7582 | target4+:0.7693 | target3+:0.7933 | target2+:0.8364 | target1+:0.9178,1.673841,2.186355,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
56,CatBoost,0.814951,target5+:0.7606 | target4+:0.7687 | target3+:0.7924 | target2+:0.8369 | target1+:0.9161,1.686184,2.186649,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
64,Linear,0.814942,target5+:0.7597 | target4+:0.7695 | target3+:0.7924 | target2+:0.8357 | target1+:0.9174,1.685214,2.186701,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
66,Ridge,0.814897,target5+:0.7582 | target4+:0.7692 | target3+:0.7930 | target2+:0.8363 | target1+:0.9178,1.67458,2.186966,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
50,Linear,0.814789,target5+:0.7614 | target4+:0.7714 | target3+:0.7914 | target2+:0.8334 | target1+:0.9164,1.70153,2.187613,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
51,Linear,0.814789,target5+:0.7614 | target4+:0.7714 | target3+:0.7914 | target2+:0.8334 | target1+:0.9164,1.70153,2.187613,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
98,CatBoost,0.814783,target5+:0.7674 | target4+:0.7792 | target3+:0.7915 | target2+:0.8262 | target1+:0.9096,1.700141,2.187691,day_length_hours_lag_21 | day_length_hours_lag_30 | temp_sealevelpressure_interaction | feelslike | temp | day_avg_feelslike | day_avg_tempmin | rolling_30_sealevelpressure | rolling_3_sealevelpressure_change | season_avg_sealevelpressure | rolling_3_wind_u_change | season_avg_feelslike | rolling_21_cloudcover | feelslikemax | rolling_7_sealevelpressure | dew | rolling_3_sealevelpressure | tempmax | wind_u | sealevelpressure_lag_1 | season_avg_effective_solar | rolling_7_sealevelpressure_change | rolling_14_temp_solar_interaction | rolling_14_tempmin_change | temp_anomaly_vs_month_avg | tempmin | month_avg_tempmin | season_avg_solarenergy | rolling_30_precipcover | feelslikemin | season_avg_solarradiation | rolling_14_dew_change | dew_lag_10 | temp_anomaly_vs_season_avg | season_avg_day_length_hours | rolling_14_windspeed_change | rolling_14_moonphase_cos_change | rolling_14_feelslikemin_change | rolling_7_humidity | sealevelpressure | rolling_14_wind_u_change | sealevelpressure_lag_2 | rolling_21_sealevelpressure_change | rolling_30_windspeed_change | rolling_14_dew | season_avg_precipcover | season_avg_wind_u | rolling_7_dew | rolling_7_windspeed_change | rolling_30_uv_temp_interaction | rolling_14_tempmin | rolling_7_wind_v | rolling_14_feelslikemin | rolling_21_effective_solar | pressure_trend_7d | rolling_30_windgust_change | rolling_14_windgust_change | rolling_7_cloudcover | rolling_30_moonphase_sin | rolling_14_sealevelpressure_change | cloudcover | rolling_30_temp_solar_interaction | rolling_21_wind_u_change | month_avg_visibility | rolling_7_feelslikemin_change | day_avg_moonphase_cos | rolling_3_cloudcover | rolling_7_wind_u_change | season_avg_weighted_precip | rolling_21_windspeed_change | rolling_30_sealevelpressure_change | rolling_21_windgust_change | sealevelpressure_lag_21 | season_avg_wind_v | month_avg_precipcover | season_avg_precip | year_avg_day_length_hours | month_avg_feelslikemin | feelslike_lag_14 | rolling_30_tempmin | effective_solar | rolling_30_solarenergy | pressure_trend_3d | temp_sealevelpressure_interaction_lag_10 | rolling_7_windgust_change | rolling_7_wind_v_change | day_avg_temp_range | temp_sealevelpressure_interaction_lag_14 | rolling_30_solarradiation | rolling_14_uv_temp_interaction | day_avg_temp | year_avg_humidity | rolling_21_uvindex | sealevelpressure_lag_5 | rolling_14_weighted_precip | sealevelpressure_lag_3 | rolling_3_dew_change | rolling_30_precipprob,"day_length_hours_lag_21, day_length_hours_lag_30, temp_sealevelpressure_interaction, feelslike, temp, day_avg_feelslike, day_avg_tempmin, rolling_30_sealevelpressure, rolling_3_sealevelpressure_change, season_avg_sealevelpressure..."
