name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Hanoi,2021-12-08 00:00:00,15.0,15.0,14.0,93.75,0.0,0,,0,0,10.4,5.4,50.0,1021.0,0.0,5.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2021-12-08 01:00:00,14.6,14.6,13.4,92.57,0.0,0,,0,0,7.6,0.5,4.0,1020.7,0.0,9.1,0.0,0.0,0,,Clear,clear-night,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2021-12-08 02:00:00,14.0,14.0,13.0,93.7,0.0,0,,0,0,5.0,1.8,60.0,1021.0,0.0,5.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2021-12-08 03:00:00,14.0,14.0,13.0,93.7,0.0,0,,0,0,4.0,3.6,50.0,1021.0,0.0,7.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2021-12-08 04:00:00,13.3,13.3,12.7,96.35,0.0,0,,0,0,6.1,0.0,360.0,1020.8,0.6,4.7,0.0,0.0,0,,Clear,clear-night,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2021-12-08 05:00:00,13.2,13.2,12.5,96.35,0.0,0,,0,0,7.2,3.6,340.0,1021.0,0.0,7.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2021-12-08 06:00:00,12.0,12.0,11.0,93.6,0.0,0,,0,0,7.9,3.6,290.0,1022.0,0.0,8.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
Hanoi,2021-12-08 07:00:00,13.8,13.8,12.8,93.57,0.0,0,,0,0,8.6,6.4,346.0,1022.4,52.8,4.7,18.4,0.1,0,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
Hanoi,2021-12-08 08:00:00,15.0,15.0,12.0,82.26,0.0,0,,0,0,12.2,3.6,327.1,1023.0,0.0,7.0,168.7,0.6,2,,Clear,clear-day,"48820099999,VVNB"
Hanoi,2021-12-08 09:00:00,17.0,17.0,13.0,77.31,0.0,0,,0,0,14.4,7.6,310.0,1023.0,0.0,9.0,344.9,1.2,3,,Clear,clear-day,"48820099999,VVNB"
Hanoi,2021-12-08 10:00:00,20.0,20.0,12.2,60.51,0.0,0,,0,0,16.6,3.7,320.0,1023.6,90.0,10.1,504.5,1.8,5,,Partially cloudy,partly-cloudy-day,"48820099999,48823099999,48825099999,VVNB"
Hanoi,2021-12-08 11:00:00,21.0,21.0,14.0,64.29,0.0,0,,0,0,16.9,3.6,350.8,1023.0,93.3,10.0,546.2,2.0,5,,Overcast,cloudy,"48820099999,VVNB"
